district,region,date,mean_rainfall
Nwoya,Northern,1981-01-01,9.787914883558917
Obongi,Northern,1981-01-01,5.068631207501447
Omoro,Northern,1981-01-01,6.687434358416863
Otuke,Northern,1981-01-01,11.827082881221065
Oyam,Northern,1981-01-01,10.33282040878081
Pader,Northern,1981-01-01,5.673711706090857
Pakwach,Northern,1981-01-01,8.954883206275202
Pallisa,Eastern,1981-01-01,23.499180385044642
Rakai,Central,1981-01-01,40.07350014740566
Rubanda,Western,1981-01-01,65.27324884588069
Rubirizi,Western,1981-01-01,22.900814134247447
Rukiga,Western,1981-01-01,53.93107252854567
Rukungiri,Western,1981-01-01,45.6332861328125
Rwampara,Western,1981-01-01,44.52647094726562
Serere,Eastern,1981-01-01,21.43894082991803
Sheema,Western,1981-01-01,44.43556810461956
Sironko,Eastern,1981-01-01,18.68261249248798
Soroti,Eastern,1981-01-01,23.51384848736702
Ssembabule,Central,1981-01-01,33.65060221354167
Tororo,Eastern,1981-01-01,24.80870757231841
Wakiso,Central,1981-01-01,50.91629305752841
Yumbe,Northern,1981-01-01,6.491196669541396
Zombo,Northern,1981-01-01,-327.9093480603448
Abim,Northern,1981-02-01,18.791413680366848
Adjumani,Northern,1981-02-01,18.714169341738863
Agago,Northern,1981-02-01,17.53001849419248
Alebtong,Northern,1981-02-01,26.116965780452805
Amolatar,Northern,1981-02-01,25.380571637834823
Amudat,Northern,1981-02-01,9.231355487175708
Amuria,Eastern,1981-02-01,23.117099927819293
Amuru,Northern,1981-02-01,18.19932277513587
Apac,Northern,1981-02-01,31.356025307865465
Arua,Northern,1981-02-01,24.099828771642738
Budaka,Eastern,1981-02-01,39.050611223493306
Bududa,Eastern,1981-02-01,29.969981800426137
Bugiri,Eastern,1981-02-01,56.99393503289474
Bugweri,Eastern,1981-02-01,60.04136305588942
Buhweju,Western,1981-02-01,47.4612870649858
Buikwe,Central,1981-02-01,66.25306701660156
Bukedea,Eastern,1981-02-01,25.4092456714527
Bukomansimbi,Central,1981-02-01,41.3392912212171
Bukwo,Eastern,1981-02-01,21.415392194475448
Bulambuli,Eastern,1981-02-01,23.324851296164773
Buliisa,Western,1981-02-01,-119.40846548507463
Bundibugyo,Western,1981-02-01,30.273482259114584
Bunyangabu,Western,1981-02-01,30.4844970703125
Bushenyi,Western,1981-02-01,51.83976527622768
Busia,Eastern,1981-02-01,55.273173014322914
Butaleja,Eastern,1981-02-01,45.901885986328125
Butambala,Central,1981-02-01,47.00215148925781
Butebo,Eastern,1981-02-01,33.10509575737847
Buvuma,Central,1981-02-01,51.104126806972786
Buyende,Eastern,1981-02-01,32.58996188256048
Dokolo,Northern,1981-02-01,32.11694675021701
Gomba,Central,1981-02-01,42.441986083984375
Gulu,Northern,1981-02-01,15.905782765355603
Hoima,Western,1981-02-01,-406.8566706730769
Ibanda,Western,1981-02-01,30.793065688189337
Iganga,Eastern,1981-02-01,60.322916666666664
Isingiro,Western,1981-02-01,48.172219669117645
Jinja,Eastern,1981-02-01,63.20782979329427
Kaabong,Northern,1981-02-01,11.902051738664216
Kabale,Western,1981-02-01,44.4691740337171
Kabarole,Western,1981-02-01,26.097031704215116
Kaberamaido,Eastern,1981-02-01,29.260527512122845
Kagadi,Western,1981-02-01,34.17833740234375
Kakumiro,Western,1981-02-01,54.24220034950658
Kalaki,Eastern,1981-02-01,26.150001525878906
Kalangala,Central,1981-02-01,59.38602487664474
Kaliro,Eastern,1981-02-01,46.05480018028846
Kalungu,Central,1981-02-01,44.03751314603365
Kampala,Central,1981-02-01,42.750418526785715
Kamuli,Eastern,1981-02-01,49.6015478515625
Kamwenge,Western,1981-02-01,24.26186794704861
Kanungu,Western,1981-02-01,46.1582275390625
Kapchorwa,Eastern,1981-02-01,24.520738874162948
Kapelebyong,Eastern,1981-02-01,20.97736053466797
Karenga,Northern,1981-02-01,13.05652458285108
Kasese,Western,1981-02-01,27.276265092329545
Kassanda,Central,1981-02-01,50.30343017578125
Katakwi,Eastern,1981-02-01,19.954728410050677
Kayunga,Central,1981-02-01,42.280796595982146
Kazo,Western,1981-02-01,27.21247100830078
Kibaale,Western,1981-02-01,50.48728819151182
Kiboga,Central,1981-02-01,61.5697571997549
Kibuku,Eastern,1981-02-01,41.0218994140625
Kikuube,Western,1981-02-01,31.83189099900266
Kiruhura,Western,1981-02-01,36.71269132653061
Kiryandongo,Western,1981-02-01,33.38207802652311
Kisoro,Western,1981-02-01,79.61136372884114
Kitagwenda,Western,1981-02-01,29.7054443359375
Kitgum,Northern,1981-02-01,14.047304979011194
Koboko,Northern,1981-02-01,21.57337697347005
Kole,Northern,1981-02-01,27.80167511970766
Kotido,Northern,1981-02-01,11.760144249867585
Kumi,Eastern,1981-02-01,27.090548270089286
Kwania,Northern,1981-02-01,31.291909976881378
Kween,Eastern,1981-02-01,17.312462546608664
Kyankwanzi,Central,1981-02-01,55.039068680775316
Kyegegwa,Western,1981-02-01,33.44493986430921
Kyenjojo,Western,1981-02-01,28.240056818181817
Kyotera,Central,1981-02-01,56.536248779296876
Lamwo,Northern,1981-02-01,13.162022477489407
Lira,Northern,1981-02-01,28.493071831597224
Luuka,Eastern,1981-02-01,58.797216796875
Luwero,Central,1981-02-01,47.247878615920605
Lwengo,Central,1981-02-01,38.99408318014706
Lyantonde,Central,1981-02-01,34.429759058459055
Madi Okollo,Northern,1981-02-01,18.731780550373134
Manafwa,Eastern,1981-02-01,39.860831124441965
Maracha,Northern,1981-02-01,27.776261393229166
Masaka,Central,1981-02-01,48.94921531139965
Masindi,Western,1981-02-01,42.50009527439025
Mayuge,Eastern,1981-02-01,49.92842574668141
Mbale,Eastern,1981-02-01,33.94110870361328
Mbarara,Western,1981-02-01,37.813916015625
Mitooma,Western,1981-02-01,54.484719669117645
Mityana,Central,1981-02-01,54.43873452240566
Moroto,Northern,1981-02-01,10.865305933459052
Moyo,Northern,1981-02-01,-540.0224066840278
Mpigi,Central,1981-02-01,44.64996213329081
Mubende,Central,1981-02-01,45.17770145716292
Mukono,Central,1981-02-01,54.757093203965056
Nabilatuk,Northern,1981-02-01,13.785030177382172
Nakapiripirit,Northern,1981-02-01,14.202812870846518
Nakaseke,Central,1981-02-01,54.22039794921875
Nakasongola,Central,1981-02-01,33.48264903192935
Namayingo,Eastern,1981-02-01,39.51365981867284
Namisindwa,Eastern,1981-02-01,36.637044270833336
Namutumba,Eastern,1981-02-01,52.837221498842595
Napak,Northern,1981-02-01,14.37185627140411
Nebbi,Northern,1981-02-01,20.038982969341856
Ngora,Eastern,1981-02-01,29.505947265625
Ntoroko,Western,1981-02-01,-199.9613196331522
Ntungamo,Western,1981-02-01,46.73340953480113
Nwoya,Northern,1981-02-01,23.328152990644906
Obongi,Northern,1981-02-01,16.975432219328702
Omoro,Northern,1981-02-01,19.7732624557783
Otuke,Northern,1981-02-01,22.323246708622687
Oyam,Northern,1981-02-01,28.481185698173416
Pader,Northern,1981-02-01,18.46766945167824
Pakwach,Northern,1981-02-01,16.792775800151208
Pallisa,Eastern,1981-02-01,39.86844744001116
Rakai,Central,1981-02-01,44.42028578272406
Rubanda,Western,1981-02-01,56.23004705255682
Rubirizi,Western,1981-02-01,35.93268445073342
Rukiga,Western,1981-02-01,47.99393404447115
Rukungiri,Western,1981-02-01,44.0612548828125
Rwampara,Western,1981-02-01,52.74857177734375
Serere,Eastern,1981-02-01,30.344240282402662
Sheema,Western,1981-02-01,49.48829186480978
Sironko,Eastern,1981-02-01,28.288900522085335
Soroti,Eastern,1981-02-01,28.948039602726062
Ssembabule,Central,1981-02-01,35.446956380208334
Tororo,Eastern,1981-02-01,53.872400232263516
Wakiso,Central,1981-02-01,47.00675270774148
Yumbe,Northern,1981-02-01,18.481296291599026
Zombo,Northern,1981-02-01,-318.9700296336207
Abim,Northern,1981-03-01,104.91126019021739
Adjumani,Northern,1981-03-01,103.85076964727723
Agago,Northern,1981-03-01,117.11205406526548
Alebtong,Northern,1981-03-01,145.99703045280611
Amolatar,Northern,1981-03-01,157.90068708147322
Amudat,Northern,1981-03-01,150.23188752948113
Amuria,Eastern,1981-03-01,161.02823539402175
Amuru,Northern,1981-03-01,111.68001019021739
Apac,Northern,1981-03-01,196.25167174258473
Arua,Northern,1981-03-01,140.46766786317568
Budaka,Eastern,1981-03-01,222.36692592075892
Bududa,Eastern,1981-03-01,290.3231090198864
Bugiri,Eastern,1981-03-01,215.6285978618421
Bugweri,Eastern,1981-03-01,199.67923677884616
Buhweju,Western,1981-03-01,145.8883611505682
Buikwe,Central,1981-03-01,183.90519205729166
Bukedea,Eastern,1981-03-01,211.7632495777027
Bukomansimbi,Central,1981-03-01,155.13073087993422
Bukwo,Eastern,1981-03-01,236.06487165178572
Bulambuli,Eastern,1981-03-01,234.04612038352272
Buliisa,Western,1981-03-01,-12.668784981343284
Bundibugyo,Western,1981-03-01,170.72242838541666
Bunyangabu,Western,1981-03-01,174.95787760416667
Bushenyi,Western,1981-03-01,157.54457310267858
Busia,Eastern,1981-03-01,236.03304036458334
Butaleja,Eastern,1981-03-01,209.2679931640625
Butambala,Central,1981-03-01,161.95787556966147
Butebo,Eastern,1981-03-01,230.96923828125
Buvuma,Central,1981-03-01,234.34024234693877
Buyende,Eastern,1981-03-01,206.36058782762098
Dokolo,Northern,1981-03-01,154.88350423177084
Gomba,Central,1981-03-01,147.62934221540178
Gulu,Northern,1981-03-01,125.65903657058189
Hoima,Western,1981-03-01,-290.9009271978022
Ibanda,Western,1981-03-01,139.78173828125
Iganga,Eastern,1981-03-01,199.51278831845238
Isingiro,Western,1981-03-01,161.23264016544118
Jinja,Eastern,1981-03-01,182.46590169270834
Kaabong,Northern,1981-03-01,77.83427159926471
Kabale,Western,1981-03-01,180.74582391036185
Kabarole,Western,1981-03-01,171.89461073764534
Kaberamaido,Eastern,1981-03-01,172.09533270474137
Kagadi,Western,1981-03-01,152.42578125
Kakumiro,Western,1981-03-01,162.65381716008773
Kalaki,Eastern,1981-03-01,182.05118815104166
Kalangala,Central,1981-03-01,230.04898231907896
Kaliro,Eastern,1981-03-01,237.90842848557693
Kalungu,Central,1981-03-01,163.80806790865384
Kampala,Central,1981-03-01,168.25497000558036
Kamuli,Eastern,1981-03-01,207.9314453125
Kamwenge,Western,1981-03-01,158.65831163194446
Kanungu,Western,1981-03-01,160.7580322265625
Kapchorwa,Eastern,1981-03-01,248.47345842633928
Kapelebyong,Eastern,1981-03-01,130.4032470703125
Karenga,Northern,1981-03-01,73.10748818479938
Kasese,Western,1981-03-01,136.84652876420455
Kassanda,Central,1981-03-01,137.497802734375
Katakwi,Eastern,1981-03-01,137.92046294341216
Kayunga,Central,1981-03-01,182.1092529296875
Kazo,Western,1981-03-01,137.55181884765625
Kibaale,Western,1981-03-01,172.25477723817568
Kiboga,Central,1981-03-01,181.17405790441177
