District,Region,Date,Precipitation_mm
Abim,Northern,1991-02-28,1.4970936e-05
Abim,Northern,1991-03-31,0.00012398878
Abim,Northern,1991-04-30,0.00018827518
Abim,Northern,1991-05-31,0.00030856513
Abim,Northern,1991-06-30,0.00024270041
Abim,Northern,1991-07-31,0.00037649286
Abim,Northern,1991-08-31,0.0004303076
Abim,Northern,1991-09-30,0.00015878656
Abim,Northern,1991-10-31,0.00020984071
Abim,Northern,1991-11-30,2.1543548e-05
Abim,Northern,1991-12-31,1.7951894e-05
Abim,Northern,1992-01-31,8.3702867e-07
Abim,Northern,1992-02-29,9.9109275e-06
Abim,Northern,1992-03-31,4.061031e-05
Abim,Northern,1992-04-30,0.00014656207
Abim,Northern,1992-05-31,0.0002094802
Abim,Northern,1992-06-30,0.00024669038
Abim,Northern,1992-07-31,0.00024479412
Abim,Northern,1992-08-31,0.00021235298
Abim,Northern,1992-09-30,0.000113456445
Abim,Northern,1992-10-31,0.0002297161
Abim,Northern,1992-11-30,4.4890905e-05
Abim,Northern,1992-12-31,3.4522414e-05
Abim,Northern,1993-01-31,1.7372831e-05
Abim,Northern,1993-02-28,5.2664014e-05
Abim,Northern,1993-03-31,2.6922713e-05
Abim,Northern,1993-04-30,0.00016819735
Abim,Northern,1993-05-31,0.00025917188
Abim,Northern,1993-06-30,0.00019957931
Abim,Northern,1993-07-31,0.0001246096
Abim,Northern,1993-08-31,0.00010614861
Abim,Northern,1993-09-30,4.1555035e-05
Abim,Northern,1993-10-31,8.517375e-06
Abim,Northern,1993-11-30,5.791452e-05
Abim,Northern,1993-12-31,6.453515e-06
Abim,Northern,1994-01-31,2.3203083e-06
Abim,Northern,1994-02-28,1.492576e-05
Abim,Northern,1994-03-31,0.00012881856
Abim,Northern,1994-04-30,0.0002068525
Abim,Northern,1994-05-31,0.00025037923
Abim,Northern,1994-06-30,0.0002501033
Abim,Northern,1994-07-31,0.0002675939
Abim,Northern,1994-08-31,0.00023081749
Abim,Northern,1994-09-30,3.356448e-05
Abim,Northern,1994-10-31,7.880311e-05
Abim,Northern,1994-11-30,0.00011313271
Abim,Northern,1994-12-31,7.022453e-06
Abim,Northern,1995-01-31,7.7443315e-07
Abim,Northern,1995-02-28,3.0507408e-05
Abim,Northern,1995-03-31,6.663799e-05
Abim,Northern,1995-04-30,0.00022425805
Abim,Northern,1995-05-31,0.00019466077
Abim,Northern,1995-06-30,0.00015462041
Abim,Northern,1995-07-31,0.00024204614
Abim,Northern,1995-08-31,0.00012533768
Abim,Northern,1995-09-30,5.2344796e-05
Abim,Northern,1995-10-31,0.00010726518
Abim,Northern,1995-11-30,4.6460937e-05
Abim,Northern,1995-12-31,4.1223553e-05
Abim,Northern,1996-01-31,1.912102e-05
Abim,Northern,1996-02-29,2.988134e-05
Abim,Northern,1996-03-31,0.00013452844
Abim,Northern,1996-04-30,0.00017682005
Abim,Northern,1996-05-31,0.0002454891
Abim,Northern,1996-06-30,0.00019105122
Abim,Northern,1996-07-31,0.00021174198
Abim,Northern,1996-08-31,0.00022326875
Abim,Northern,1996-09-30,0.00017642888
Abim,Northern,1996-10-31,2.3553343e-05
Abim,Northern,1996-11-30,3.1885393e-05
Abim,Northern,1996-12-31,3.9571933e-06
Abim,Northern,1997-01-31,1.0584845e-05
Abim,Northern,1997-02-28,2.6490953e-08
Abim,Northern,1997-03-31,5.8823163e-05
Abim,Northern,1997-04-30,0.00035047132
Abim,Northern,1997-05-31,0.00011061694
Abim,Northern,1997-06-30,0.00018259021
Abim,Northern,1997-07-31,0.0001837153
Abim,Northern,1997-08-31,8.571874e-05
Abim,Northern,1997-09-30,4.5425363e-06
Abim,Northern,1997-10-31,0.00019517465
Abim,Northern,1997-11-30,0.00018328914
Abim,Northern,1997-12-31,0.00013263187
Abim,Northern,1998-01-31,9.0366724e-05
Abim,Northern,1998-02-28,6.815058e-05
Abim,Northern,1998-03-31,8.119905e-06
Abim,Northern,1998-04-30,0.00011828079
Abim,Northern,1998-05-31,0.00020929413
Abim,Northern,1998-06-30,0.00019334753
Abim,Northern,1998-07-31,0.00021013906
Abim,Northern,1998-08-31,0.00021509564
